date,close
2024-05-02,3.212190
2024-05-03,3.225397
2024-05-06,3.266434
2024-05-07,3.265962
2024-05-08,3.285301
2024-05-10,3.281999
2024-05-13,3.329640
2024-05-14,3.449920
2024-05-15,3.339073
2024-05-16,3.382468
2024-05-17,3.391902
2024-05-20,3.340961
2024-05-21,3.340488
2024-05-22,3.437184
2024-05-23,3.391902
2024-05-24,3.354639
2024-05-27,3.367375
2024-05-28,3.367846
2024-05-29,3.273509
2024-05-30,3.356998
2024-05-31,3.387657
2024-06-03,3.402752
2024-06-04,3.415487
2024-06-05,3.422562
2024-06-06,3.422091
2024-06-07,3.417373
2024-06-10,3.395204
2024-06-11,3.369262
2024-06-12,3.364545
2024-06-13,3.280113
2024-06-14,3.195209
2024-06-17,3.223982
2024-06-18,3.260773
2024-06-19,3.231057
2024-06-20,3.240491
2024-06-24,3.323508
2024-06-25,3.311244
2024-06-26,3.272094
2024-06-27,3.306527
2024-06-28,3.356998
2024-07-01,3.461712
2024-07-02,3.411242
2024-07-03,3.409827
2024-07-04,3.413128
2024-07-05,3.404166
2024-07-08,3.431996
2024-07-09,3.392846
2024-07-10,3.436241
2024-07-11,3.408411
2024-07-12,3.461712
2024-07-15,3.417845
2024-07-16,3.321621
2024-07-17,3.375393
2024-07-18,3.207473
2024-07-19,3.183417
2024-07-22,3.286691
2024-07-23,3.251473
2024-07-24,3.240527
2024-07-25,3.368073
2024-07-26,3.367121
2024-07-29,3.370453
2024-07-30,3.471347
2024-07-31,3.446599
2024-08-01,3.499427
2024-08-02,3.387586
2024-08-05,3.267179
2024-08-06,3.246714
2024-08-07,3.313818
2024-08-08,3.319054
2024-08-09,3.313343
2024-08-12,3.348084
2024-08-13,3.410430
2024-08-14,3.424707
2024-08-15,3.545115
2024-08-16,3.514180
2024-08-19,3.559868
2024-08-20,3.563199
2024-08-21,3.547018
2024-08-22,3.550350
2024-08-23,3.568910
2024-08-26,3.563199
2024-08-27,3.583664
2024-08-28,3.605556
2024-08-29,3.788309
2024-08-30,3.786405
2024-09-02,3.800207
2024-09-03,3.782598
2024-09-04,3.757850
2024-09-05,3.740717
2024-09-06,3.661238
2024-09-09,3.674088
2024-09-10,3.634587
2024-09-11,3.587947
2024-09-12,3.593658
2024-09-13,3.601749
2024-09-16,3.614123
2024-09-17,3.615550
2024-09-18,3.598418
2024-09-19,3.631256
2024-09-20,3.625545
2024-09-23,3.665046
2024-09-24,3.720253
2024-09-25,3.744524
2024-09-26,3.759754
2024-09-27,3.753567
2024-09-30,3.735006
2024-10-01,3.754043
2024-10-02,3.769272
2024-10-03,3.740717
2024-10-04,3.783074
2024-10-07,3.779742
2024-10-08,3.790688
2024-10-09,3.883969
2024-10-10,3.853033
2024-10-11,3.803539
2024-10-14,3.824478
2024-10-15,3.836852
2024-10-16,3.851606
2024-10-17,3.754995
2024-10-18,4.068624
2024-10-21,4.179339
2024-10-22,4.188445
2024-10-23,4.161127
2024-10-24,4.214327
2024-10-25,4.231580
2024-10-28,4.303473
2024-10-29,4.317851
2024-10-30,4.231580
2024-10-31,4.145789
2024-11-01,4.197552
2024-11-04,4.149624
2024-11-05,4.112239
2024-11-06,4.104571
2024-11-07,4.072938
2024-11-08,4.041306
2024-11-11,4.101217
2024-11-12,4.034117
2024-11-13,4.021176
2024-11-14,4.063352
2024-11-15,4.040825
2024-11-18,4.035554
2024-11-19,3.805499
2024-11-20,3.865888
2024-11-21,3.800706
2024-11-22,3.844800
2024-11-25,3.853907
2024-11-26,3.833298
2024-11-27,3.794475
2024-11-28,3.816522
2024-11-29,3.814605
2024-12-02,3.840966
2024-12-03,3.862054
2024-12-04,3.836173
2024-12-05,3.931070
2024-12-09,4.032199
2024-12-10,4.012548
2024-12-11,4.006797
2024-12-12,4.058560
2024-12-13,4.045619
2024-12-16,4.084920
2024-12-17,4.045140
2024-12-18,4.106009
2024-12-19,4.081086
2024-12-20,4.048974
2024-12-23,4.063352
2024-12-27,4.116074
2024-12-30,4.097381
2025-01-02,4.140996
2025-01-03,4.112239
2025-01-07,4.306348
2025-01-08,4.288615
2025-01-09,4.230144
2025-01-10,4.228705
2025-01-13,4.165919
2025-01-14,4.211451
2025-01-15,4.305390
2025-01-16,4.171191
2025-01-17,4.230622
2025-01-20,4.275195
2025-01-21,4.266088
2025-01-22,4.280947
2025-01-23,4.323603
2025-01-24,4.154896
2025-01-27,4.162084
2025-01-28,4.101217
2025-01-29,4.125181
2025-01-30,4.403164
2025-01-31,4.352360
2025-02-03,4.386615
2025-02-04,4.355255
2025-02-05,4.422801
2025-02-06,4.458503
2025-02-07,4.496618
2025-02-10,4.528944
2025-02-11,4.514470
2025-02-12,4.592629
2025-02-13,4.611928
2025-02-14,4.607104
2025-02-17,4.626401
2025-02-18,4.626401
2025-02-19,4.554514
2025-02-20,4.619648
2025-02-21,4.635087
2025-02-24,4.560304
2025-02-25,4.562234
2025-02-26,4.574296
2025-02-27,4.535215
2025-02-28,4.472012
2025-03-03,4.729168
2025-03-04,4.512539
2025-03-05,4.569953
2025-03-06,4.656315
